flight_id,departure_city,arrival_city,flight_time,model,count_seats,sell_tickets,amount
136119,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,113,1653000.00
136120,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,109,1605400.00
136122,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,97,1431000.00
136130,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,107,1556600.00
136131,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,124,1812800.00
136132,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,116,1714000.00
136135,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,115,1678600.00
136146,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,109,1604200.00
136159,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,115,1700600.00
136164,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,120,1738400.00
136165,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,110,1567600.00
136172,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,110,1617600.00
136178,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,99,1434600.00
136181,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,118,1689600.00
136185,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,104,1520000.00
136202,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,100,1495600.00
136204,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,107,1457800.00
136209,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,112,1615200.00
136215,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,114,1664000.00
136226,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,130,1886000.00
136249,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,123,1800600.00
136250,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,99,1407800.00
136264,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,116,1690800.00
136266,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,108,1566400.00
136268,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,115,1676200.00
136269,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,109,1605400.00
136270,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,111,1628600.00
136275,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,125,1825000.00
136282,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,106,1518800.00
136284,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,117,1677400.00
136293,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,114,1689600.00
136310,Anapa,Moscow,0 years 0 mons 0 days 1 hours 40 mins 0.00 secs,Boeing 737-300,130,117,1654200.00
